lessonid,moduleid,conceptid,title,content,dateCreated,dateUpdated
2,2,0,Vowels,"Learn to read and pronounce the Vietnamese vowels","2021-07-16 17:19:40","2021-07-16 17:19:40"
2,2,1,a,"/aː/ Similar to the 'a' in "hat"","2021-07-16 17:19:40","2021-07-16 17:21:26"
2,2,2,e,"/ɛ˧/ Similar to  the 'ai' in "air", but shorter","2021-07-16 17:19:40","2021-07-16 17:21:26"
2,2,3,ê,"/ə̆j/ Similar to 'i' in "hi" but shorter. Sometimes pronounced as /ə̯/ as in the 'e' in "dress"","2021-07-16 17:19:40","2021-07-16 17:21:26"
2,2,4,i,"/i/ Similar to the 'ea' in "seat"", or after any vowel letter /j/ as in the 'y' in ""yellow"""","2021-07-16 17:19:41","2021-07-16 17:19:41"
2,2,5,o,"/ɔ/ Similar to 'o' in "clock", except before 'ng' /ăw/, and /w/ when combined with some other vowels","2021-07-16 17:19:41","2021-07-16 17:21:26"
2,2,6,ô,"/o/ Similar to the 'aw' in "yawn", or  /ə̆w/ before ng and c, or  /ə̯/ in uô","2021-07-16 17:19:41","2021-07-16 17:21:26"
2,2,7,ơ,"/ə/ Similar to the last 'a' in "Camera", or /ə̯/ in ươ","2021-07-16 17:19:41","2021-07-16 17:23:34"
2,2,8,u,"/u/ Similar to the 'oo' in "book", or /w/ after 'q' or with some vowel combinations","2021-07-16 17:19:41","2021-07-16 17:21:26"
2,2,9,ư,"/ɨ/ Similar to the 'oo' in "loo"","2021-07-16 17:19:41","2021-07-16 17:23:34"
2,2,10,y,"/i/ Similar to the 'ea' in "seat", or after any vowel letter /j/ as in the 'y' in "yellow"","2021-07-16 17:19:41","2021-07-16 17:21:26"
